Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Australia,Oceania,Oceania,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,89.3,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.4,65.21,-13.0152,74.3661
Australia,Oceania,Oceania,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,65.21,-13.0152,74.3661
Austria,Western Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100,65.21,39.7082,0.3738
Austria,Western Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,74.2,71.81,39.7082,0.3738
Austria,Western Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,75.4,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,96,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,80.2,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,86.3,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,52.8,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,85.9,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,97.2,71.81,39.7082,0.3738
Austria,Western Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,71.81,39.7082,0.3738
Azerbaijan,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,84.2,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,66.7,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,76,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,62.4,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,37.3,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,44.6,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,37.2,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,34.5,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,91.2,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.71,42.4093,32.0671
Azerbaijan,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,27.7,71.81,42.4093,32.0671
Bahamas,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,97.6,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,6.86,38.0343,-70.3963
Bahamas,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,50.71,38.0343,-70.3963
Bahrain,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,75.4,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,58.5,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,74.5,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,94.5,21.71,22.3759,31.9774
Bahrain,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,21.71,22.3759,31.9774
Bangladesh,Southern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,30.6,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,71.2,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,88.3,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,83,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,40.5,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,35.9,34.42,18.8103,60.4125
Bangladesh,Southern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,22.9,34.42,18.8103,60.4125
